Station;Station alias;Date established;Date closed;Declared reporting status;Calculated reporting status;Station type;WIGOS Station Identifier(s);WMO Region;Country;Latitude;Longitude;Elevation;Geopositioning method;Time zone;Supervising organization;Station URL;Other link (URL);Site description;Climate zone;Predominant surface cover;Surface roughness;Topography or bathymetry;Population in 10km/50km;Programs/Network affiliation
ISTANBUL BOLGE (KARTAL);;2007-11-24;;Operational;Operational;Land (fixed);0-20000-0-17064|primary;Europe;Turkey;40.911345;29.155803;18;;UTC+3;TSMS;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";Warm temperate - Dry and hot summer;Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009));;(unknown) at Lowest relative elevation within hills of very low altitude;15000|;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(T):Operational
IZMIR/GUZELYALI;;1926-01-01;;Operational;Operational;Land (fixed);0-20000-0-17220|primary;Europe;Turkey;38.394873;27.081855;29;GPS;UTC+3;TSMS;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;RBCN;RBSN(T);SEA;SEATEMP;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Solar radiation measurements.";Warm temperate - Dry and hot summer;Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009));;(unknown) at Lowest relative elevation within rises of low altitude;4.274|;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(T):Operational
KAYSERI BOLGE;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-17196|primary;Europe;Turkey;38.6833333333;35.4833333333;1096;;;TSMS;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational
SAMSUN;;1929-01-01;;Operational;Operational;Land (fixed);0-20000-0-17030|primary;Europe;Turkey;41.344167;36.256389;4;GPS;UTC+3;TSMS;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;PH;RBCN;RBSN(T);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.";Warm Temperate - Fully humid - Hot summer;Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009));;(unknown) at Lowest relative elevation within plains of low altitude;1312|;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(T):Operational, WRO:Operational
Bilohirsk;KRYMSKA;1962-01-01;;Operational;Operational;Land (fixed);0-20000-0-33966|primary;Europe;Ukraine;45.0454;34.598603;205;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;PH;RBSN(T);SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Phenological observations; Snow survey.";;;;;;GOS:Operational, RBSN(T):Operational
Chernivtsi;CHERNIVTSI;;;Operational;Operational;Land (fixed);0-20000-0-33658|primary;Europe;Ukraine;48.266458;25.972375;246;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GAMMA RAY;METAR;RADSAMP;RBCN;RBSN(ST);RSD;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
Kharkiv;KHARKIV;2018-07-09;;Operational;Operational;Land (fixed);0-20000-0-34300|primary;Europe;Ukraine;49.927978;36.282428;156;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
Kryvyi Rih;KRYVYI RIH;;;Operational;Operational;Land (fixed);0-20000-0-33791|primary;Europe;Ukraine;48.0537139;33.211139;124;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GAMMA RAY;METAR;RADSAMP;RBCN;RBSN(ST);SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
Kyiv;KIEV;;;Operational;Operational;Land (fixed);0-20000-0-33345|primary;Europe;Ukraine;50.391792;30.535631;167;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAMMA RAY;GUAN;OZONE;RAD;RADSAMP;RBCN;RBSN(ST);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Ozone observations; Radiation measurements; Radioactive sampling.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
Lviv;L'VIV;1945-01-01;;Operational;Operational;Land (fixed);0-20000-0-33393|primary;Europe;Ukraine;49.807489;23.965106;323;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GAMMA RAY;METAR;OZONE;RADSAMP;RBCN;RBSN(ST);RSD;SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Ozone observations; Radioactive sampling; Radar storm and meteorological phenomena detection;";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
Odesa;ODESA;1866-01-01;;Operational;Operational;Land (fixed);0-20000-0-33837|primary;Europe;Ukraine;46.440753;30.770336;42;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAMMA RAY;OZONE;RADSAMP;RBCN;RBSN(ST);SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Ozone observations; Radioactive sampling; Solar radiation measurements; Total radiation measurements.";;;;;;CLIMAT(C):Operational, Centennial Observing Stations:Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
Shepetivka;SHEPETIVKA;1899-01-01;;Operational;Operational;Land (fixed);0-20000-0-33317|primary;Europe;Ukraine;50.161414;27.037047;278;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAMMA RAY;GSN;PH;RADSAMP;RBCN;RBSN(ST);SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Phenological observations; Radioactive sampling; Snow survey; Total radiation measurements.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
Uzhhorod;UZHHOROD;1946-01-01;;Operational;Operational;Land (fixed);0-20000-0-33631|primary;Europe;Ukraine;48.633275;22.261228;118;;;UHC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GAMMA RAY;METAR;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
ABERPORTH;;1961-01-01;;Operational;Operational;Land (fixed);0-20000-0-03502|primary;Europe;United Kingdom (the);52.1394444444;-4.5711111111;133;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);METAR;RBCN;RBSN(S);SEMI-AUT;SKYRA;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
ALBEMARLE;;2002-01-01;;Operational;Operational;Land (fixed);0-20000-0-03238|primary;Europe;United Kingdom (the);55.0197222222;-1.8816666667;142;;UTC;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(T);RW 12Z ASCENT ON REQUEST ONLY;SOILTEMP;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational, RBSN(T):Operational
BRIZE NORTON;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-03649|primary;Europe;United Kingdom (the);51.7583333333;-1.5780555556;87.5;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;SEMI-AUT;SOILTEMP;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational
CAMBORNE;;1948-01-01;;Operational;Operational;Land (fixed);0-20000-0-03808|primary;Europe;United Kingdom (the);50.21841;-5.32753;87;GPS;UTC;UKMO;http://www.metoffice.gov.uk/public/weather/observation/gbujwtyv1;http://www.metoffice.gov.uk/research/weather/ewinprof/profiler/camborne;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAW;GSN;GUAN;OZONE;RAD;RBCN;RBSN(ST);SEMI-AUT;SFERIC;SKYRA;SOILTEMP;SOLRA;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radiation measurements; Atmospherics detection by cathode-ray direction-finder; Sky radiati";Warm Temperate - Fully humid - Warm summer;Grass(Surface cover types (PFT));(inapplicable);A flat (inapplicable) relative elevation within plains (inapplicable);;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
CARDINGTON;;1963-01-01;;Operational;Operational;Land (fixed);0-20000-0-03559|primary;Europe;United Kingdom (the);52.1038888889;-0.4213888889;29;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A/R;OBS. RW IRREG. (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational
CASTOR BAY;;2003-01-01;;Operational;Operational;Land (fixed);0-20000-0-03918|primary;Europe;United Kingdom (the);54.5;-6.3333333333;;;UTC;UKMO;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, WRO:Operational
HERSTMONCEUX, WEST END;;1979-01-01;;Operational;Operational;Land (fixed);0-20000-0-03882|primary;Europe;United Kingdom (the);50.8994444444;0.3169444444;52;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(ST);RW 12Z ASCENT ON REQUEST ONLY;SOILTEMP;SOLRA;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;GOS:Operational, RBSN(ST):Operational
KINLOSS;;1961-01-01;;Operational;Operational;Land (fixed);0-20000-0-03066|primary;Europe;United Kingdom (the);57.6455555556;-3.5636111111;6.7;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;CLIMAT(C);NLC;RBCN;RBSN(S);SEMI-AUT;SNOW;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Noctilucent cloud; Snow survey; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
LARKHILL;;1931-01-01;;Operational;Operational;Land (fixed);0-20000-0-03743|primary;Europe;United Kingdom (the);51.2016666667;-1.8058333333;132;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;W:2 HOURLY TO END FIRING/CHAQUE 2 HEURES JUSQU'A LA FIN DES INCENDIES ON/LES 1-5 O/R 6 & 7;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;GCW:Operational, GOS:Operational
LEEMING;;1961-01-01;;Operational;Operational;Land (fixed);0-20000-0-03257|primary;Europe;United Kingdom (the);54.2969444444;-1.5330555556;40.2;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: 1-5 SEMI-AUT;6-7 AUT;A;AUR;CLIMAT(C);M/B;METAR;NLC;RBCN;RBSN(S);SNOW;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Visual aurora; Station making reports of sudden changes; Noctilucent cloud; Snow survey; Solar radiation m";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
LERWICK;;1930-01-01;;Operational;Operational;Land (fixed);0-20000-0-03005|primary;Europe;United Kingdom (the);60.1391666667;-1.1847222222;82;GPS;UTC;UKMO;https://www.metoffice.gov.uk/public/weather/forecast/gfxnjyxk4;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ATMEL;C;CLIMAT(C);EARTH CURRENT;GAW;GSN;GUAN;MAGNET;NLC;NOCTRA;OZONE;RAD;RADSAMP;RBCN;RBSN(ST);SEISMO;SEMI-AUT;SFERIC;SKYRA;SNOW;SOILTEMP;SOLRA;SUNDUR;TIDE;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Atmospheric electricity measurements; Earth cu";Warm Temperate - Fully humid - Warm summer;Grass(Surface cover types (PFT));;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
LEUCHARS;;1921-01-01;;Operational;Operational;Land (fixed);0-20000-0-03171|primary;Europe;United Kingdom (the);56.3766666667;-2.8627777778;11.6;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SEMI-AUT;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
NOTTINGHAM, WATNALL;;1962-01-01;;Operational;Operational;Land (fixed);0-20000-0-03354|primary;Europe;United Kingdom (the);53.0055555556;-1.2511111111;117;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(T);RW 12Z ASCENT ON REQUEST ONLY;SOILTEMP;SOLRA;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;GCW:Operational, GOS:Operational, RBSN(T):Operational
SHAWBURY;;1963-01-01;;Operational;Operational;Land (fixed);0-20000-0-03414|primary;Europe;United Kingdom (the);52.7947222222;-2.6647222222;75.9;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: 1-5 SEMI-AUT;6-7 AUT;A;CLIMAT(C);METAR;RBCN;RBSN(S);SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
SOUTH UIST RANGE;;2003-01-01;;Operational;Operational;Land (fixed);0-20000-0-03023|primary;Europe;United Kingdom (the);57.3575;-7.385;4;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOILTEMP;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational
WADDINGTON;;1946-01-01;;Operational;Operational;Land (fixed);0-20000-0-03377|primary;Europe;United Kingdom (the);53.1752777778;-0.5233333333;68;GPS;;UKMO;https://www.metoffice.gov.uk/public/weather/forecast/gcrws0hwg#?date=2018-02-07;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;METAR;RBCN;RBSN(S);SEMI-AUT;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";Warm Temperate - Fully humid - Warm summer;Grass(Surface cover types (PFT));;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(S):Operational
WATTISHAM;;1962-01-01;;Operational;Operational;Land (fixed);0-20000-0-03590|primary;Europe;United Kingdom (the);52.1238888889;0.9575;86.3;;;UKMO;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;METAR;RBCN;RBSN(S);SEMI-AUT;SOILTEMP;SOLRA;SUNDUR;WR, A/R (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
NASSAU AIRPORT NEW PROVIDENCE;;1855-01-01;;Operational;Operational;Land (fixed);0-20000-0-78073|primary;North America, Central America and the Caribbean;Bahamas;25.05;-77.4666666667;;;;DMB;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
GRANTLEY ADAMS;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-78954|primary;North America, Central America and the Caribbean;Barbados;13.0666666667;-59.4833333333;50;;;BMS Barbados;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;CLIMAT(C);GSN;GUAN;M/B;METAR;RBCN;RBSN(ST);SEA/SWELL;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
BELIZE/PHILLIP GOLDSTON INTL. AIRPORT;;1866-01-01;;Operational;Operational;Land (fixed);0-20000-0-78583|primary;North America, Central America and the Caribbean;Belize;17.5333333333;-88.3;5;;;NMSB;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GUAN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
ALERT UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71082|primary;North America, Central America and the Caribbean;Canada;82.5;-62.3333333333;65.4;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;GUAN;ICE;OZONE;RBSN(T);SEISMO;SNOW;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Ozone observations; Seismological observations; Snow survey.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
BAKER LAKE UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71926|primary;North America, Central America and the Caribbean;Canada;64.3166666667;-96;50.8;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;ICE;RBSN(T);SNOW;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Snow survey; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
CAMBRIDGE BAY UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71925|primary;North America, Central America and the Caribbean;Canada;69.1333333333;-105.0666666667;25.1;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;GUAN;ICE;RBSN(T);SNOW;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Snow survey.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
CHURCHILL A UA, MAN;;;;Operational;Operational;Land (fixed);0-20001-0-71913|primary;North America, Central America and the Caribbean;Canada;58.7333333333;-94.0666666667;28.5;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;OZONE;RAD;RBSN(T);SNOW;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radiation measurements; Snow survey.";;;;;;GOS:Operational, RBSN(T):Operational
CORAL HARBOUR UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71915|primary;North America, Central America and the Caribbean;Canada;64.2;-83.3666666667;57.3;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;RBSN(T);WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
EUREKA UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71917|primary;North America, Central America and the Caribbean;Canada;79.9833333333;-85.9333333333;10.4;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;ICE;OZONE;RBSN(T);SNOW;SOLRA;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Ozone observations; Snow survey; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
FORT NELSON UA, BC;;;;Operational;Operational;Land (fixed);0-20001-0-71945|primary;North America, Central America and the Caribbean;Canada;58.8333333333;-122.6;378.3;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(T);SOLRA;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
FORT SMITH UA, NWT;;;;Operational;Operational;Land (fixed);0-20001-0-71934|primary;North America, Central America and the Caribbean;Canada;60.0261111111;-111.9294444444;204.1;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;GUAN;RBSN(T);SNOW;SOLRA;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey; Solar radiation measurements.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
FT. PROVIDENCE, NWT;;1987-01-01;;Operational;Operational;Land (fixed);0-20000-0-71086|primary;North America, Central America and the Caribbean;Canada;61.6666666667;-117.25;159;;;EC;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational
GAGETOWN A, NB;;;;Operational;Operational;Land (fixed);0-20001-0-71701|primary;North America, Central America and the Caribbean;Canada;45.8333333333;-66.4333333333;50.6;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;OBS. RW IRREG.*;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational
GOOSE UA, NFLD;;1977-01-01;;Operational;Operational;Land (fixed);0-20001-0-71816|primary;North America, Central America and the Caribbean;Canada;53.3;-60.3666666667;35.7;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;GUAN;OZONE;RBSN(T);SOLRA;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Solar radiation measurements.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
HALL BEACH UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71081|primary;North America, Central America and the Caribbean;Canada;68.7666666667;-81.2166666667;5.9;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(T);WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, RBSN(T):Operational
INUKJUAK UA, QUE;;;;Operational;Operational;Land (fixed);0-20001-0-71907|primary;North America, Central America and the Caribbean;Canada;58.4666666667;-78.0833333333;24.4;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;ICE;RBSN(T);SNOW;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Snow survey; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
INUVIK UA, NWT;;;;Operational;Operational;Land (fixed);0-20001-0-71957|primary;North America, Central America and the Caribbean;Canada;68.3166666667;-133.5166666667;103.2;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;RBSN(T);SOLRA;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
IQALUIT UA, NU;;;;Operational;Operational;Land (fixed);0-20001-0-71909|primary;North America, Central America and the Caribbean;Canada;63.75;-68.55;21.9;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;ICE;RBSN(T);SEISMO;SNOW;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ice observations; Seismological observations; Snow survey; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
KELOWNA UA, BC;;1968-01-01;;Operational;Operational;Land (fixed);0-20001-0-71203|primary;North America, Central America and the Caribbean;Canada;49.9408333333;-119.4002777778;456;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: OZONE;RBSN(T);WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations.";;;;;;GOS:Operational, RBSN(T):Operational
KUUJJUAQ, UA, QUE;;1977-01-01;;Operational;Operational;Land (fixed);0-20001-0-71906|primary;North America, Central America and the Caribbean;Canada;58.1166666667;-68.4166666667;60.2;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RBSN(T);SEISMO;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Seismological observations; Solar radiation measurements.";;;;;;GOS:Operational, RBSN(T):Operational
LA GRANDE IV UA, QUE;;;;Operational;Operational;Land (fixed);0-20001-0-71823|primary;North America, Central America and the Caribbean;Canada;53.7572222222;-73.6791666667;302.4;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T);WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, RBSN(T):Operational
MANIWAKI UA, QUE;;;;Operational;Operational;Land (fixed);0-20000-0-71722|primary;North America, Central America and the Caribbean;Canada;46.3019444444;-76.0061111111;188.58;;;EC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T);SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, RBSN(T):Operational
